speed_main,flow_main,week,flow_mean_400,speed_mean_400,flow_mean_406,speed_mean_406,flow_mean_412,speed_mean_412,flow_mean_427,speed_mean_427,flow_mean_432,speed_mean_432,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,timeframe6,timeframe7,timeframe8,timeframe9
110.43,1641.82,24,1812,110.16,1812,109.03,1794.55,109.02,2105.45,107.91,2133.82,106.07,1,0,0,0,0,0,0,0,0,0,1,0,0,0
113.42,1527.78,28,1702.22,112.32,1700,110.12,1688.89,110,1905.56,108.34,1898.89,106.09,1,0,0,0,0,0,0,0,0,0,1,0,0,0
111.14,1493,38,1637,109.65,1638,107.99,1644,107.81,1996,106.27,1983,102.77,1,0,0,0,0,0,0,0,0,0,1,0,0,0
109.49,1518,39,1680,109.13,1666,108.07,1667,107.12,1952,105.45,1962,102.93,1,0,0,0,0,0,0,0,0,0,1,0,0,0
109.38,1536,45,1726,109.88,1686,109.13,1694,108.76,2059,105.04,2084,103.34,1,0,0,0,0,0,0,0,0,0,1,0,0,0
111.67,1585,47,1728,110.64,1728,109.45,1735,108.97,2084,107.13,2074,105.24,1,0,0,0,0,0,0,0,0,0,1,0,0,0
104.29,1575.25,48,1717.63,104.16,1726.78,103.11,1741.02,102.43,2112.2,100.36,2106.1,98.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0
107.83,649,52,717,107.75,732,106.15,735,105.38,864,106.5,864,104.12,1,0,0,0,0,0,0,0,0,0,1,0,0,0
109.86,1504,3,1665,109.49,1675,108.12,1693,107.93,2010,105.8,2005,102.95,0,1,0,0,0,0,0,0,0,0,1,0,0,0
111.68,1579,16,1747,110.36,1714,109.22,1704,108.52,2069,106.64,2070,105.01,0,1,0,0,0,0,0,0,0,0,1,0,0,0
111.99,1669,20,1859,110.12,1844,109.17,1816,108.79,2142,107.19,2144,105.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
113.18,1639,23,1813,111.4,1816,109.86,1800,109.44,2122,107.41,2101,106.42,0,1,0,0,0,0,0,0,0,0,1,0,0,0
112.29,1579,26,1714,110.78,1740,108.36,1700,108.51,2030,108.08,2024,106.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
112.81,1153.68,30,1245.26,112.2,1263.16,109.85,1263.16,109.76,1417.89,108.82,1408.42,107.44,0,1,0,0,0,0,0,0,0,0,1,0,0,0
113.34,1096.15,32,1202.31,112.09,1213.85,109.84,1197.69,109.26,1464.23,107.09,1444.62,106.71,0,1,0,0,0,0,0,0,0,0,1,0,0,0
113.16,1239.31,33,1387.24,111.89,1395.52,110.58,1391.38,110.11,1747.24,108.49,1741.03,107.28,0,1,0,0,0,0,0,0,0,0,1,0,0,0
110.21,1465,36,1597,109.72,1590,107.91,1588,108.2,1938,106.04,1928,104.59,0,1,0,0,0,0,0,0,0,0,1,0,0,0
110.5,1621,42,1770,109.12,1769,106.99,1783,107.37,2071,105.6,2034,104.14,0,1,0,0,0,0,0,0,0,0,1,0,0,0
110.08,1604,43,1757,108.9,1755,108.06,1760,108.23,2082,105.99,2070,104.84,0,1,0,0,0,0,0,0,0,0,1,0,0,0
110.92,1659,45,1785,109.67,1806,108.62,1798,107.62,2135,105.98,2153,105.07,0,1,0,0,0,0,0,0,0,0,1,0,0,0
106.64,1666,47,1804,106.56,1809,104.71,1814,103.67,2108,103.79,2100,101.02,0,1,0,0,0,0,0,0,0,0,1,0,0,0
109.98,1488,7,1604,108.81,1637,107.16,1632,108.12,1983,107.05,1955,105.16,0,0,1,0,0,0,0,0,0,0,1,0,0,0
109.95,1672,10,1813,109.57,1813,108.17,1798,107.27,2100,106.11,2097,104.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0
110.91,1684.44,12,1797.78,110.19,1818.89,107.67,1787.78,108.29,2100,106.11,2103.33,104.81,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111.93,1808,22,1966,110.63,1993,109.59,1866,109.81,2322,106.73,2322,105.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111.83,1630,24,1784,111.05,1738,109.62,1757,109.81,2018,107.82,2011,107.51,0,0,1,0,0,0,0,0,0,0,1,0,0,0
113.2,1656,26,1793,111.45,1779,109.93,1780,109.62,2068,107.46,2070,106.41,0,0,1,0,0,0,0,0,0,0,1,0,0,0
112.3,1010,32,1129,111.56,1129,109.11,1141,109.21,1320,108.75,1319,107.47,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111.18,1320,34,1463,109.47,1470,108.47,1448,107.88,1840,106.42,1836,105.17,0,0,1,0,0,0,0,0,0,0,1,0,0,0
110.77,1456,35,1593,109.28,1604,107.6,1594,107.24,1885,105.67,1870,104.09,0,0,1,0,0,0,0,0,0,0,1,0,0,0
112.21,1513,36,1637,110.04,1658,108.75,1627,109.36,1909,107.14,1919,105.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111.53,1448,38,1613,110.67,1610,108.82,1596,108.01,1897,106.08,1859,104.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0
112.08,1497,41,1701,110.53,1749,108.11,1771.5,108.22,2049,105.99,2023.5,104.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0
110.42,1603,47,1732,109.76,1739,107.76,1729,107.17,1990,105.77,1983,104.42,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111.66,1606,48,1747,109.72,1734,108.63,1738,108.56,2016,107.12,2014,105.59,0,0,1,0,0,0,0,0,0,0,1,0,0,0
108.03,1706,50,1831,107.75,1856,106.24,1835,105.69,2137,105.32,2138,104.17,0,0,1,0,0,0,0,0,0,0,1,0,0,0
116.31,218.57,1,245.26,115.66,251.58,112.27,236.9,110.45,258.95,111.32,263.16,109.92,0,0,0,1,0,0,0,0,0,0,1,0,0,0
111.37,1522.35,2,1676.47,110.15,1685.88,108.22,1689.41,107.63,1944.71,106.81,1940,105.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
108.46,1414.74,4,1531.58,108.42,1562.11,106.46,1548.42,106.29,1908.42,104.98,1894.74,103.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0
109.13,1528.42,6,1695.79,107.2,1685.26,105.59,1656.84,104.97,1984.21,104.12,1976.84,102.19,0,0,0,1,0,0,0,0,0,0,1,0,0,0
109.97,1456,8,1551,110.25,1567,108.09,1571,107.9,1916,106.81,1900,105.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110.32,1534.14,9,1680,109.47,1687.24,108.27,1680,107.91,1994.48,107.02,2014.14,105.31,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110.35,1520.69,13,1657.24,110.8,1668.62,108.88,1646.9,109.24,2094.83,106.29,2055.52,104.84,0,0,0,1,0,0,0,0,0,0,1,0,0,0
112.62,1453,19,1523,111.99,1536,109.56,1426,110.63,1910,108.9,1891,107.37,0,0,0,1,0,0,0,0,0,0,1,0,0,0
112.14,1523,20,1581,110.94,1615,109.14,1595,108.31,2058,106.98,2042,105.11,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110.94,1581.05,22,1638.95,110.26,1656.84,108.36,1636.84,107.63,2077.89,106.46,2078.95,105.55,0,0,0,1,0,0,0,0,0,0,1,0,0,0
111.49,1541.79,23,1598.57,111.2,1621.07,109.32,1501.07,109.1,1986.43,107.35,1977.86,106.71,0,0,0,1,0,0,0,0,0,0,1,0,0,0
112.06,1124.21,30,1276.84,111.45,1251.58,110.17,1091.58,110.73,1548.42,109.65,1535.79,107.82,0,0,0,1,0,0,0,0,0,0,1,0,0,0
109.51,1515.25,42,1658.64,108.35,1652.54,107.76,1525.42,107.54,2048.14,105.68,2056.27,104.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110.93,1580,46,1737.89,107.93,1727.37,106.81,1600,107.43,2168.42,105.26,2162.11,104.08,0,0,0,1,0,0,0,0,0,0,1,0,0,0
109.6,1485,49,1620,108.31,1674.55,107.75,1542.67,107.65,2018.67,106.73,2061.82,104.99,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110.12,1476,2,1639.29,107.56,1605.82,106.87,1470,106.94,1989.82,106.13,1991.79,104.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
109.76,1428.84,3,1576.74,108.58,1579.53,106.78,1435.81,107.91,2013.49,106.15,1960.47,104.94,0,0,0,0,1,0,0,0,0,0,1,0,0,0
110.97,1575,4,1722.86,109.28,1702.5,107.56,1580.36,108.25,2141.79,106.89,2126.79,105.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0
108.53,1622.18,5,1749.82,107.96,1754.18,107.05,1625.45,107.19,2196,105.77,2178.55,104.51,0,0,0,0,1,0,0,0,0,0,1,0,0,0
110.61,1537.09,10,1721.45,108.66,1688.57,108.15,1546.07,107.68,2103.33,106.2,2075.56,105.07,0,0,0,0,1,0,0,0,0,0,1,0,0,0
110.49,1487.37,14,1600,108.99,1604.21,108.06,1471.58,107.08,1974.74,106.55,1971.58,105.02,0,0,0,0,1,0,0,0,0,0,1,0,0,0
110.31,1577,42,1744,108.02,1758,107.59,1730,107.19,2120,106.67,2107,104.94,0,0,0,0,1,0,0,0,0,0,1,0,0,0
109.14,680,1,726,108.55,739,107.31,738,106.46,880,107.39,874,105.53,0,0,0,0,1,0,0,0,0,0,1,0,0,0
107.43,1562,3,1714,104.45,1689,103.17,1691,104.16,2033,105.15,2012,103.64,0,0,0,0,0,1,0,0,0,0,1,0,0,0
109.38,1478,6,1629,107.41,1630,106.57,1621,106.46,2058,105.33,2030,104.01,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110.01,1541,7,1719,108.46,1714,107.47,1691,107.89,2119,106.95,2100,106.29,0,0,0,0,0,1,0,0,0,0,1,0,0,0
101.68,1811,20,1843,99.84,1841,99.28,1549,99.93,1881,89.47,1824,88.84,0,0,0,0,0,1,0,0,0,0,1,0,0,0
120.23,935.59,23,1005.76,120.06,980,119.85,857,114.9,2129,80.45,2108,79.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111.39,1910.85,24,1926.1,112.03,1909.83,111.89,1921.02,106.19,2100,81.12,2095.93,80.95,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111.69,1673,29,1681,112.12,1681,111.69,1682,109.91,1838,89.67,1877,89.71,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111.34,1525,30,1525,108.08,1497,102.28,1493,96.06,1561,74.65,1523,76.14,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110.65,1234,31,1232,111.01,1226,110.35,1228,109.18,1355,86.24,1321,87.53,0,0,0,0,0,1,0,0,0,0,1,0,0,0
109.97,1197,32,1201,110.83,1177,110.34,1172,108.35,1262,87.06,1252,87.17,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111.24,1982,44,1992,110.87,1992,111.89,1963,109.53,2488,109.28,2364,107.13,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111.85,1915,45,1935,111.82,1892,111.82,1902,109.9,2394,108.94,2323,107.22,0,0,0,0,0,1,0,0,0,0,1,0,0,0
112.96,1954.58,46,1991.19,112.8,1972.88,112.18,1994.24,110.09,2460,110.48,2396.95,108.72,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111.66,1973,47,2002,111.87,1976,111.74,1971,109.75,2459,108.82,2385,106.43,0,0,0,0,0,1,0,0,0,0,1,0,0,0
111.82,2000,49,2031,112.51,2004,112.65,1991,111.16,2534,110.88,2459,108.77,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110.76,876,53,870,109.86,879,110.59,867,108.17,1045,110.62,1020,107.83,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110.85,1861,1,1866,111.32,1864,112.09,1863,110.01,2321,110.17,2245,107.85,0,0,0,0,0,0,1,0,0,0,1,0,0,0
112.58,1925,4,1940,112.9,1892,112.43,1896,110.53,2393,110.44,2348,108.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
112.47,1841,7,1849,112.51,1832,112.93,1845,111.25,2308,111.01,2250,108.72,0,0,0,0,0,0,1,0,0,0,1,0,0,0
112.1,1874,10,1895,112.28,1899,112.27,1909,110.53,2413,110.6,2335,108.91,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115.07,1908,15,1926,114.84,1922,115.1,1930,113.75,2490,112.62,2427,110.88,0,0,0,0,0,0,1,0,0,0,1,0,0,0
116.02,2226,20,2256,115.43,2212,115.33,2249,114.03,2836,113.61,2749,111.45,0,0,0,0,0,0,1,0,0,0,1,0,0,0
116.13,2013,21,2029,116.04,1986,116.95,2022,115.43,2588,114.85,2530,113.18,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115.5,1986,22,2013,115.6,1973,115.9,2003,114.81,2599,113.56,2548,111.63,0,0,0,0,0,0,1,0,0,0,1,0,0,0
116.14,1902,24,1944,116.42,1944,116.55,1964,114.99,2521,113.76,2451,111.95,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115.45,1351,31,1353,114.48,1329,114.21,1345,113.19,1634,114.14,1580,111.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0
112.78,1375,32,1378,112.83,1375,111.39,1380,108.92,1676,110.68,1608,108.74,0,0,0,0,0,0,1,0,0,0,1,0,0,0
115.51,1883,36,1945,116.14,1927,115.86,1949,114.07,2488,113.32,2400,110.97,0,0,0,0,0,0,1,0,0,0,1,0,0,0
114.14,2015,43,2048,114.77,2016,115.16,2048,113.42,2615,111.86,2554,109.95,0,0,0,0,0,0,1,0,0,0,1,0,0,0
114.7,2001,44,2015,114.93,1969,114.71,1982,113.4,2608,112.29,2547,110.22,0,0,0,0,0,0,1,0,0,0,1,0,0,0
114.24,1999,46,2030,114.69,1978,115.13,2018,112.86,2636,112.21,2547,109.77,0,0,0,0,0,0,1,0,0,0,1,0,0,0
113.3,2114,47,2159,113.58,2149,113.42,2162,111.77,2725,110.7,2674,108.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
113.3,1942,48,1965,113.65,1922,113.72,1956,112.16,2490,110.85,2439,108.63,0,0,0,0,0,0,1,0,0,0,1,0,0,0
113.17,2079,49,2076,113.54,2072,113.98,2071,111.9,2594,110.72,2533,108.04,0,0,0,0,0,0,1,0,0,0,1,0,0,0
113.32,2057,50,2113,113.96,2102,114.25,2079,112.03,2606,111.4,2545,109.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
113.65,1353,1,1376,113.73,1351,113.89,1385,112.06,1667,111.85,1645,109.09,0,0,0,0,0,0,0,1,0,0,1,0,0,0
112.05,1899,3,1954,112.72,1900,112.86,1926,110.88,2506,109.79,2452,107.48,0,0,0,0,0,0,0,1,0,0,1,0,0,0
111.14,1910,4,1929,112.14,1927,112.58,1920,110.55,2465,110.51,2392,107,0,0,0,0,0,0,0,1,0,0,1,0,0,0
112.52,1923,9,1957,112.67,1932,112.69,1938,111.01,2407,110.28,2358,107.82,0,0,0,0,0,0,0,1,0,0,1,0,0,0
113.04,2064,10,2069,113.31,2067,114.03,2062,112.36,2634,111.48,2582,109.36,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114.68,1951,13,1985,114.63,1974,115.09,1988,113.24,2581,112.31,2504,109.95,0,0,0,0,0,0,0,1,0,0,1,0,0,0
113.94,2301,16,2307,113.9,2314,114.5,2310,112.94,2883,111.61,2827,109.54,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115.08,1979,18,2022,115.64,2012,115.56,2026,113.57,2590,112.92,2499,110.51,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115.88,2107,21,2111,115.35,2089,115.54,2087,114.04,2695,114.12,2627,111.66,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115.2,2035,22,2040,115.23,2032,115.26,2065,114.27,2619,113.79,2547,111.01,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115.23,2053,25,2098,115.59,2077,115.36,2089,114.51,2676,113.84,2617,111.6,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114.85,2095,26,2123,115.23,2124,115.41,2153,114.27,2707,112.85,2633,110.39,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114.29,1592,30,1615,114.24,1597,113.83,1579,112.21,1899,113.4,1844,110.61,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115.69,1443,31,1477,115.13,1451,114.87,1469,113.63,1727,114.54,1685,112.02,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114.76,1540,33,1553,114.76,1541,115.05,1559,114,2023,114.28,1957,112.13,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114.2,1808,35,1817,113.9,1776,113.96,1838,112.4,2417,112.22,2351,110.09,0,0,0,0,0,0,0,1,0,0,1,0,0,0
107.98,1932,38,1946,110.86,1890,111.92,1914,110.74,2417,99.88,2391,89.98,0,0,0,0,0,0,0,1,0,0,1,0,0,0
108.9,2001,39,2017,111.66,2001,112.7,2001,111.42,2618,110.51,2529,107.66,0,0,0,0,0,0,0,1,0,0,1,0,0,0
109.04,1964,40,1969,111.14,1963,112.24,1965,110.24,2578,108.82,2493,107.67,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106.87,1938,43,1955,110.69,1944,111.64,1937,109.97,2533,109.76,2459,107.02,0,0,0,0,0,0,0,1,0,0,1,0,0,0
112.09,2151,48,2195,112.48,2191,112.99,2181,110.96,2843,110.65,2772,107.89,0,0,0,0,0,0,0,1,0,0,1,0,0,0
111.85,2114,49,2151,112.88,2120,113.44,2155,111.62,2823,110.96,2776,108.63,0,0,0,0,0,0,0,1,0,0,1,0,0,0
112.53,2039,51,2048,113.19,2024,113.86,2025,112.19,2651,112.24,2589,110.09,0,0,0,0,0,0,0,1,0,0,1,0,0,0
116.53,217.89,52,214.74,115.18,216.21,115.7,217.89,114,255.52,113.54,242,111.11,0,0,0,0,0,0,0,1,0,0,1,0,0,0
111.41,1952,7,2016,111.97,1987,112.01,1996,110.26,2537,109.62,2493,107.66,0,0,0,0,0,0,0,0,1,0,1,0,0,0
111.09,1970,8,1997,112.45,1966,112.47,1986,110.53,2588,110.05,2527,108.12,0,0,0,0,0,0,0,0,1,0,1,0,0,0
112.95,2038,10,2044,113.53,2026,113.36,2062,111.54,2661,110.49,2588,108.65,0,0,0,0,0,0,0,0,1,0,1,0,0,0
113.48,2415,14,2464,113.94,2430,113.83,2408,112.12,2371,110.74,2922,108.54,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114.15,2206,15,2235,114.41,910,102.58,2198,112.52,2215,111.66,2734,109.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
113.91,2168,16,2229,114.63,916,103.18,2257,112.91,2235,112.5,2790,110.69,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114.19,2134,17,2228,114.88,918,102.98,2239,112.81,2178,112.39,2726,110.25,0,0,0,0,0,0,0,0,1,0,1,0,0,0
113.86,2269,23,2273,114.07,956,102.12,2268,112.87,2193,112.15,2744,110.34,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114.51,1735,34,1749,114.62,811,104.77,1725,113.24,1748,113.37,2198,111.39,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114.37,2045,37,2070,114.63,855,103.08,2108,112.94,2055,111.79,2563,108.68,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114.72,2166,41,2190,114.6,867,102.42,2229,113.25,2161,112.36,2690,109.45,0,0,0,0,0,0,0,0,1,0,1,0,0,0
113.97,2166,45,2241,114.41,900,102.03,2259,112.03,2202,111.93,2725,109.04,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114.97,2164,50,2248,115.16,2187,114.62,2212,112.36,2184,112.64,2694,110.03,0,0,0,0,0,0,0,0,1,0,1,0,0,0
